Status,Title,URL,LocalFile,FileType,Size,LastModified,DownloadResult,Level,Referrer
"Parsed","中海物业管理有限公司","http://www.copm.com.cn/","../www.copm.com.cn\www.copm.com.html","HTML","48135","","200 OK","0",""
"Parsed","","http://www.copm.com.cn/templates/temp/style/index.css","../www.copm.com.cn\templates\temp\style\index.css","HTML","5238","Fri, 13 Nov 2015 01:49:25 GMT","200 OK","1","http://www.copm.com.cn/"
"Parsed","","http://www.copm.com.cn/templates/temp/scripts/jquery.js","../www.copm.com.cn\templates\temp\scripts\jquery.js","HTML","93868","Tue, 30 Oct 2012 02:28:26 GMT","200 OK","1","http://www.copm.com.cn/"
"Parsed","","http://www.copm.com.cn/templates/temp/scripts/common.js","../www.copm.com.cn\templates\temp\scripts\common.js","HTML","6502","Tue, 27 Nov 2012 01:23:20 GMT","200 OK","1","http://www.copm.com.cn/"
"Parsed","","http://www.copm.com.cn/templates/temp/scripts/index.js","../www.copm.com.cn\templates\temp\scripts\index.js","HTML","564","Tue, 27 Nov 2012 01:23:19 GMT","200 OK","1","http://www.copm.com.cn/"
"Parsed","","http://www.copm.com.cn/templates/temp/scripts/jquery.DURoll.js","../www.copm.com.cn\templates\temp\scripts\jquery.DURoll.js","HTML","1815","Fri, 02 Nov 2012 09:51:11 GMT","200 OK","1","http://www.copm.com.cn/"
"Parsed","","http://www.copm.com.cn/templates/temp/layer/layer.js","../www.copm.com.cn\templates\temp\layer\layer.js","HTML","14081","Tue, 30 Oct 2012 02:28:45 GMT","200 OK","1","http://www.copm.com.cn/"
"Parsed","","http://www.copm.com.cn/templates/temp/scripts/DD_belatedPNG.js","../www.copm.com.cn\templates\temp\scripts\DD_belatedPNG.js","HTML","7019","Tue, 30 Oct 2012 02:28:30 GMT","200 OK","1","http://www.copm.com.cn/"
"Saved","","http://www.copm.com.cn/templates/temp/images/logo.png","../www.copm.com.cn\templates\temp\images\logo.png","Images","3707","Tue, 30 Oct 2012 02:26:45 GMT","200 OK","1","http://www.copm.com.cn/"
"Saved","","http://www.copm.com.cn/templates/temp/images/small-icon.jpg","../www.copm.com.cn\templates\temp\images\small-icon.jpg","Images","1009","Tue, 30 Oct 2012 02:25:26 GMT","200 OK","1","http://www.copm.com.cn/"
"Saved","","http://www.copm.com.cn/UploadFiles/2012/11/W12094612934D0FCF.jpg","../www.copm.com.cn\UploadFiles\2012\11\W12094612934D0FCF.jpg","Images","48381","Mon, 12 Nov 2012 01:46:12 GMT","200 OK","1","http://www.copm.com.cn/"
"Saved","","http://www.copm.com.cn/UploadFiles/2012/11/W0917032088BB74B4.jpg","../www.copm.com.cn\UploadFiles\2012\11\W0917032088BB74B4.jpg","Images","44009","Fri, 09 Nov 2012 09:03:20 GMT","200 OK","1","http://www.copm.com.cn/"
"Saved","","http://www.copm.com.cn/UploadFiles/2012/11/W09165916728D48D7.jpg","../www.copm.com.cn\UploadFiles\2012\11\W09165916728D48D7.jpg","Images","45599","Fri, 09 Nov 2012 08:59:16 GMT","200 OK","1","http://www.copm.com.cn/"
"Saved","","http://www.copm.com.cn/UploadFiles/2012/11/W091658401728BFE6.jpg","../www.copm.com.cn\UploadFiles\2012\11\W091658401728BFE6.jpg","Images","43655","Fri, 09 Nov 2012 08:58:40 GMT","200 OK","1","http://www.copm.com.cn/"
"Saved","","http://www.copm.com.cn/UploadFiles/2012/11/W091658091F69329E.jpg","../www.copm.com.cn\UploadFiles\2012\11\W091658091F69329E.jpg","Images","41932","Fri, 09 Nov 2012 08:58:09 GMT","200 OK","1","http://www.copm.com.cn/"
"Saved","","http://www.copm.com.cn/UploadFiles/2012/12/W2115482793A4DF64.jpg","../www.copm.com.cn\UploadFiles\2012\12\W2115482793A4DF64.jpg","Images","30956","Thu, 25 Feb 2016 02:25:56 GMT","200 OK","1","http://www.copm.com.cn/"
"Saved","","http://www.copm.com.cn/UploadFiles/2012/12/W2509323658D57231.jpg","../www.copm.com.cn\UploadFiles\2012\12\W2509323658D57231.jpg","Images","39323","Thu, 25 Feb 2016 02:24:55 GMT","200 OK","1","http://www.copm.com.cn/"
"Saved","","http://www.copm.com.cn/UploadFiles/2012/12/W19185938CFBF8D84.jpg","../www.copm.com.cn\UploadFiles\2012\12\W19185938CFBF8D84.jpg","Images","38650","Thu, 25 Feb 2016 02:26:45 GMT","200 OK","1","http://www.copm.com.cn/"
"Saved","","http://www.copm.com.cn/UploadFiles/2012/12/W2010224145B4B6A4.jpg","../www.copm.com.cn\UploadFiles\2012\12\W2010224145B4B6A4.jpg","Images","32066","Thu, 25 Feb 2016 02:27:31 GMT","200 OK","1","http://www.copm.com.cn/"
"Saved","","http://www.copm.com.cn/UploadFiles/2012/12/W191859575D7D08D8.jpg","../www.copm.com.cn\UploadFiles\2012\12\W191859575D7D08D8.jpg","Images","34066","Thu, 25 Feb 2016 02:28:38 GMT","200 OK","1","http://www.copm.com.cn/"
